Ward no,Burough,PIN Code,Neighbourhood,Latitude,Longitude
127,14,"700 061, 700 063",Sarsuna (Sarsuna satellite township-Shakuntala Park-Oxytown-Sonamukhi),22.478235,88.288694
128,14,"700 061, 700 063",Behala (Ramnarayan Government Colony-Dhamarajtola-Sen Pally-Nimtala),22.488345,88.297694
129,14,"700 060, 700 063",Behala (Adarsha Nagar-BG Press Colony-Sreema Pally-Rabindra Palli),22.496735,88.297694
130,14,"700 034,",Behala (Manton Super Market-Bakshi Bagan-Unique Park),22.498125,88.310694
131,14,700 060,Behala (Parnasree Pally),22.508135,88.301694
132,14,"700 060, 700 034",Behala (Naskarpur-Bara Bagan-Pathakpara),22.507865,88.314694
133,15,+91 33,Garden Reach (Akshay Kanan),22.538111,88.286556
134,15,700 024,Garden Reach (Ramnagar),22.545111,88.291556
135,15,700 024,Garden Reach (Bichali Ghat-Mudiali),22.546806,88.284556
136,15,700 018,Garden Reach (Metiabruz),22.539806,88.281556
137,15,700 024 700 044,Garden Reach (Metiabruz-Lichu Bagan),22.548806,88.273556
138,15,700 018,Metiabruz (Panchpara-Kashyappara-Jabarhat),22.548806,88.268556
139,15,"700 018, 700 044",Metiabruz (Bartala-Karbala),22.539806,88.267556
140,15,"700 018, 700 044",Metiabruz (Kanthalberia-Mullickpara),22.546806,88.261556
141,15,"700 018, 700 044","Badartala, Rajabagan",22.554417,88.254556
142,16,NA,Joka,22.464889,88.331542
143,16,NA,Joka,22.456589,88.321242
144,16,NA,Joka,22.456789,88.301242
